标记,学校编号,学校名称,所属学院,专业名称,专业代码,研究方向,培养类型,计划人数,距离最后更新时间已过分钟
 ,82817,中国工程物理研究院,北京计算科学研究中心,计算数学,070102,偏微分方程数值解,全日制,0,10339,不符合调入专业学科门类要求
 ,83000,中国电子科技集团公司电子科学研究院,华北计算技术研究所,计算机系统结构,081201,不区分研究方向,全日制,0,265,不符合调入专业初试科目要求
 ,83276,西安微电子技术研究所（航天771所）,不区分院系所,计算机科学与技术,081200,嵌入式高速计算机技术,全日制,0,369,不符合调入专业初试科目要求
 ,82817,中国工程物理研究院,北京计算科学研究中心,计算数学,070102,高精度数值方法,全日制,0,10339,不符合调入专业学科门类要求
 ,10148,辽宁石油化工大学,计算机与通信工程学院,计算机系统结构,081201,不区分研究方向,全日制,2,159,
 ,83000,中国电子科技集团公司电子科学研究院,华北计算技术研究所,计算机应用技术,081203,不区分研究方向,全日制,0,265,不符合调入专业初试科目要求
 ,82817,中国工程物理研究院,北京计算科学研究中心,计算数学,070102,偏微分方程数值解与并行计算,全日制,0,10339,不符合调入专业学科门类要求
 ,10402,闽南师范大学,粒计算重点实验室,计算数学,070102,不区分研究方向,全日制,2,709,不符合调入专业学科门类要求
 ,82817,中国工程物理研究院,计算机应用研究所,计算机应用技术,081203,软件与可信计算,全日制,0,10339,不符合调入专业初试科目要求
 ,83276,西安微电子技术研究所（航天771所）,不区分院系所,计算机科学与技术,081200,实时嵌入式软件,全日制,0,369,不符合调入专业初试科目要求
 ,10148,辽宁石油化工大学,计算机与通信工程学院,计算机软件与理论,081202,不区分研究方向,全日制,5,159,
 ,83276,西安微电子技术研究所（航天771所）,不区分院系所,计算机科学与技术,081200,网络集成软件开发,全日制,0,369,不符合调入专业初试科目要求
 ,82817,中国工程物理研究院,计算机应用研究所,计算机应用技术,081203,大规模并行计算,全日制,0,10339,不符合调入专业初试科目要求
 ,82912,中国航空研究院631所,不区分院系所,计算数学,070102,不区分研究方向,全日制,0,6019,不符合调入专业学科门类要求
